url,title,H1,text01,picture,app01,app02,app03,app04,app05,app06,app07,H2,class01,class02,class03,class04,class05,class06,class07,class08,class09,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19
/businessfields/automotives/index.html,事業領域：輸送機器,自動車・他輸送機器,自動車・鉄道車両などの輸送機の性能向上、効率化、環境負荷低減に多彩な日東製品をご紹介します。,/businessfields/automotives/banner.jpg,自動車,EV/HEV,二輪・自転車,電車,重機・建機・農機,航空機,船舶,自動車・他輸送機器に貢献している日東製品群,○,○,○,○,○,,,○,,○,,,○,○,○,○,○,○,
/businessfields/house/,事業領域：住宅,住宅・住宅設備,住まいの安全性・快適性・環境性能の向上に貢献する、各種日東製品をお届けしています。,/businessfields/house/banner.jpg,住宅,住宅設備, ,,,,,住宅・住宅設備に貢献している日東製品群,○,○,○,○,○,,,,,,,,○,,,,○,○,
/businessfields/infrastructure/,事業領域：社会インフラ,社会インフラ,日常の生活に不可欠な設備・施設の製造、建設、保守にお役にたっている日東製品をご紹介します。,/businessfields/infrastructure/banner.jpg,新エネルギー,産業機器,土木・建築,水処理(浄水場・海水淡水化）,,,,社会インフラ業界に貢献している日東製品群,○,○,○,○,○,○,,,,,,,○,○,○,,○,○,
/businessfields/material/,事業領域：素材,素材,すべての産業の基盤となる素材業界へ、工程合理化、環境負荷物質低減につながる製品で、貢献しています。,/businessfields/material/banner.jpg,金属板,製紙,ガラス,プラスチック,,,,素材業界に貢献している日東製品群,○,○,,,○,,,,,,,,○,,,,○,○,
/businessfields/home_appliance/,事業領域：家電,家電・電子機器,家電製品の進化とお客様のニーズにお応えし、環境にも配慮した各種日東製品をご紹介します。,/businessfields/home_appliance/banner.jpg,白物家電,ＡＶ機器,モバイル関連,OA機器,PC関連,,,家電・電子機器業界に貢献している日東製品群,○,○,○,○,○,,○,○,○,○,○,○,○,○,○,○,○,○,
/businessfields/display/,事業領域：ディスプレイ,ディスプレイ,テレビ、タブレットPC、スマートフォン、携帯ゲーム機などの構造材料・工程材料として幅広く採用されている日東製品をご紹介します。,/businessfields/display/banner.jpg,タブレットＰＣ,スマートフォン,ゲーム機・携帯ゲーム機,モニタ,TV,ノートＰＣ,デスクトップＰＣ,ディスプレイに貢献している日東製品群,○,○,○,,,,○,○,,○,,○,○,,,○,○,○,
/businessfields/electronics/,事業領域：電子デバイス,電子部品,エレクトロニクスから環境・エネルギー分野まで、幅広く活躍する電子部品。これらの構造材料・製造工程材料としてお役にたっている日東製品をご紹介します。,/businessfields/electronics/banner.jpg,電子デバイス,半導体デバイス,記憶デバイス,装置,,,,電子デバイス業界に貢献している日東製品群,○,○,,,,,,○,○,○,○,○,○,○,○,○,○,○,
/businessfields/medical/,事業領域：医療,医療,日東の粘着・塗工・応用技術を駆使して、病気やけがの予防と治療に貢献できる、人にやさしい医薬品、粘着応用製品などをお届けしています。,/businessfields/medical/banner.jpg,衛材,医薬品,,,,,,医療業界に貢献している日東製品群,,,,,,,,,,,,,,,,,○,○,○
/businessfields/packaging/,事業領域：包装材,包装材料,あらゆる産業で物流の一端をになう包装用テープ。用途・要望に対応する最適な粘着テープや、テープ貼り機をお届けします。,/businessfields/packaging/banner.jpg,各種包装材料,,,,,,,包装材料に貢献している日東製品群,○,,,,,,,,,,,,,,,,○,○,
/businessfields/consumer_goods/,事業領域：消費財,消費材,日東の粘着技術を応用し、快適・便利で、独創的な製品を生み出し、人々の暮らしに貢献します。,/businessfields/consumer_goods/banner.jpg,生活用品,,,,,,,消費材に貢献している日東製品群,○,,,,,,,,,,,,,,,,○,○,
